2839,Tusculum,Pioneers
2842,UVA-Wise,Highland Cavaliers
2843,Western Connecticut State,Colonials
2844,Wayne State (NE),Wildcats
2845,Waynesburg,Yellow Jackets
2846,Wesley College,Wolverines
2847,Western Washington,Vikings
2848,Western Oregon,Wolves
2849,Westminster PA,Titans
2850,Whittier,Poets
2851,Winona State,Warriors
2858,California (PA),Vulcans
2860,Central Methodist,Eagles
2865,Evangel,Crusaders
2871,Kean,Cougars
2876,Lincoln (MO),Blue Tigers
2877,Lindsey Wilson,Blue Raiders
2880,Missouri Baptist,Spartans
2882,UNC Pembroke,Braves
2884,Nichols,Bison
2886,Northwood (MI),Timberwolves
2888,Ouachita Baptist,Tigers
2890,Reinhardt,Eagles
2891,Ripon,Redhawks
2894,Sioux Falls,Cougars
2896,Southern Virginia,Knights
2900,St. Thomas (MN),Tommies
2904,Southwestern Assemblies of God,Lions
2907,Trinity International (IL),Trojans
2909,Westfield State,Owls
2911,William Jewell College,Cardinals
2912,William Penn,Statesmen
2913,Brevard College,Tornados
2916,Incarnate Word,Cardinals
2919,Monmouth (IL),Fighting Scots
2923,Pomona-Pitzer,Sagehens
2927,Southwestern Oklahoma,Bulldogs
2930,Willamette,Bearcats
2938,Huntingdon,Hawks
2939,Jamestown,Jimmies
2940,Livingstone,Blue Bears
2951,SUNY Maritime,Privateers
2963,Case Western Reserve,Spartans
2964,Central,Dutch
2967,Framingham State,Rams
2968,Gustavus Adolphus,Golden Gusties
2969,Misericordia,Cougars
2970,William Paterson,Pioneers
2972,Plymouth State,Panthers
2974,Shepherd,Rams
2977,Trinity (CT),Bantams
2980,Ohio Wesleyan,Battling Bishops
2985,Concordia College (MI),Cardinals
2986,Fairmont State,Falcons
3066,Concordia-St. Paul,Golden Bears
3071,North Central,Cardinals
3077,Kentucky Christian,Knights
3080,Waldorf,Warriors
3099,Concordia (AL),Hornets
3100,Monterrey Tech,Rams
3101,Dixie State,Red Storm
3110,Morrisville State,Mustangs
3111,Apprentice School,Builders
3112,Christopher Newport,Captains
3130,Williamson Trade,Mechanics
3161,Ohio State Newark,Titans
3162,Alfred State College,Pioneers
3178,Ave Maria,Gyrenes
3179,Point University,Point
3181,Shepherd Tech,Eagles
3209,Lindenwood Belleville,Lynx
3211,College of Faith,Warriors
3214,Trinity Bible,Lions
3236,Erie Community College,Kats
3253,College of Faith - Charlotte,Saints
3254,University of Faith,Glory Eagles
6353,Lakeland University,Lakeland
6845,Nebraska Wesleyan University,Neb Wesleyan
16111,Benedictine College,Bndctne Col
108354,Holland College,Hurricanes
108358,Arizona Christian,Firestorm
108382,College of Idaho,Yotes
108398,Ohio Midwestern College,Rams
109418,Finlandia University,Lions
111,Northeastern,Huskies
2275,Hofstra,Pride
189,Bowling Green,Falcons
2628,TCU,Horned Frogs
1000000,Iowa Pre-Flight,Seahawks
1000001,Denver,Pioneers
1000002,Swarthmore,Garnet Tide
1000003,Santa Clara,Broncos
221,Pittsburgh,Panthers
1000004,San Francisco,Dons
1000005,North Carolina Pre-Flight,Cloudbusters
1000006,Long Beach State,49ers
1000007,California-Santa Barbara,Gauchos
7,Amherst College,Lord Jeffs
266,Beloit College,Buccaneers
2155,Cornell College (IA),Rams
2755,Grambling,Tigers
535,Haskell Indian Nations,Jayhawks
2373,Maryville TN,Fighting Scots
2393,Middle Tennessee,Blue Raiders
2588,Southwestern University,Pirates
2841,Union College,Dutchmen
336,Wesleyan,Cardinals
1000008,Alameda Coast Guard,Sea Lions
1000009,Amarillo Field,Sky Giants
1000010,Boston University,Terriers
1000011,Bradley,Braves
1000012,Cal State Fullerton,Titans
1000013,Cal State Los Angeles,Golden Eagles
1000014,Camp Grant,Warriors
1000015,Carlisle,Indians
1000016,Centenary (LA),Gents
1000017,Creighton,Bluejays
1000018,Del Monte Pre-Flight,Navyators
1000019,Detroit Mercy,Titans
1000020,Drury,Panthers
1000021,Erskine,The Flying Fleet
1000022,Fort Benning,Doughboys
1000023,Fort Riley,Centaurs
1000024,Fort Warren,Broncos
1000025,George Washington,Colonials
1000026,Georgia Pre-Flight,Skycrackers
1000027,Gonzaga,Bulldogs
1000028,Great Lakes Navy,Bluejackets
1000029,Haskell,Indians
1000030,Haverford,Fords
1000031,Jacksonville Naval Air Station,Flyers
1000032,Lombard,""
1000033,Loyola (LA),Wolfpack
1000034,Loyola Marymount,Lions
1000035,Lubbock Field,""
1000036,Manhattan,Jaspers
1000037,March Field,Flyers
1000038,Mare Island Marines,""
1000039,Marquette,Golden Eagles
1000040,Nashville,""
1000041,New York University,Violets
1000042,Norman Naval Air Station,Zoomers
1000043,Oglethorpe,Stormy Petrels
1000044,Pacific,Tigers
1000045,Phillips,Haymakers
1000046,Portland,Pilots
1000047,Quantico Marines,Devil Dogs
1000048,Randolph Field,Ramblers
1000049,Regis (CO),Rangers
1000050,Saint Louis,Billikens
1000053,Second Air Force,Superbombers
1000054,Spring Hill,Badgers
1000055,Stevens,Ducks
1000056,Tampa,Spartans
1000057,Tennessee Medical College,""
1000058,Texas-Arlington,Mavericks
1000059,Union (NY),Dutchmen
1000060,Vermont,Catamounts
1000061,Wesleyan (CT),Cardinals
1000062,Whitman,Missionaries
1000063,Wichita State,Shockers
1000064,Xavier,Musketeers
1000051,Saint Mary's (CA),Gaels
1000065,Saint Mary's (CA) Pre-Flight,Air Devils
